"SN","Year","Month","Day","No1","No2","No3","No4","No5","No6","NoS","2y","2m","2d"
92021,92,3,14,1,13,14,21,28,42,19,92,6,16  
92020,92,3,11,7,25,32,34,37,39,20,92,6,11  
92019,92,3,7,3,15,19,23,27,31,17,92,6,9  
92018,92,3,4,1,18,20,21,38,40,22,92,6,5  
92017,92,2,28,5,20,22,36,38,40,32,92,5,2  
92016,92,2,25,1,28,30,33,35,42,37,92,5,26  
92015,92,2,21,1,05,18,25,30,32,21,92,5,23  
92014,92,2,18,2,05,07,09,28,35,19,92,5,19  
92013,92,2,14,4,27,32,33,37,38,13,92,5,16  
92012,92,2,11,2,05,21,25,34,42,3,92,5,12  
92011,92,2,7,3,16,17,29,34,37,33,92,5,9  
92010,92,2,4,4,15,21,28,33,35,31,92,5,5  
92009,92,1,31,7,12,15,31,33,41,27,92,4,5  
92008,92,1,28,3,15,16,21,27,38,39,92,4,28 
92007,92,1,24,3,05,09,10,13,24,7,92,4,28  
92006,92,1,21,6,19,21,28,31,39,4,92,4,21  
92005,92,1,17,2,03,18,28,36,41,23,92,4,21 
92004,92,1,14,0,14,17,20,31,41,39,92,4,14 
92003,92,1,10,9,13,15,35,37,39,10,92,4,14 
92002,92,1,7,6,10,12,13,14,35,27,92,4,7 
92001,92,1,3,1,14,20,36,39,42,23,92,4,7  
