"SN","Year","Month","Day","No1","No2","No3","No4","No5","No6","NoS","2y","2m","2d"
94104,94,12,30,02,06,08,15,29,36,19,95,4,3 
94103,94,12,27,02,06,07,14,16,34,20,95,3,27 
94102,94,12,23,04,06,21,23,26,36,7,95,3,27 
94101,94,12,20,08,09,16,23,34,38,13,95,3,20 
94100,94,12,16,05,06,07,25,27,33,14,95,3,20 
94099,94,12,13,02,03,16,20,21,33,11,95,3,13 
94098,94,12,9,14,20,21,29,35,37,34,95,3,13 
94097,94,12,6,03,05,09,17,30,38,13,95,3,6 
94096,94,12,2,02,06,07,27,32,36,31,95,3,6 
94095,94,11,29,11,12,19,23,24,31,28,95,3,1 
94094,94,11,25,05,07,18,32,37,38,23,95,2,27 
94093,94,11,22,01,03,05,11,12,25,9,95,2,22 
94092,94,11,18,09,13,16,27,30,35,4,95,2,20 
94091,94,11,15,12,17,24,31,35,38,15,95,2,15 
94090,94,11,11,06,11,14,24,31,37,9,95,2,13 
94089,94,11,8,01,08,11,14,16,33,38,95,2,8 
94088,94,11,4,07,11,20,31,32,33,10,95,2,6 
94087,94,11,1,09,10,12,24,30,32,19,95,2,3 
94086,94,10,28,16,25,26,32,34,35,17,95,2,3 
94085,94,10,25,09,25,27,29,30,31,24,95,1,25 
94084,94,10,21,03,15,21,29,34,38,16,95,1,23 
94083,94,10,18,02,04,12,19,23,32,15,95,1,18 
94082,94,10,14,01,14,16,21,26,37,15,95,1,16 
94081,94,10,11,11,18,19,24,26,38,2,95,1,11 
94080,94,10,7,07,14,19,20,26,35,22,95,1,10 
94079,94,10,4,06,12,13,19,20,28,17,95,1,4 
94078,94,9,30,05,08,14,19,21,36,2,95,1,2 
94077,94,9,27,01,11,18,20,23,36,38,94,12,27 
94076,94,9,23,08,17,27,32,35,37,4,94,12,26 
94075,94,9,20,21,23,29,32,35,38,6,94,12,20 
94074,94,9,16,06,08,10,12,13,18,21,94,12,19 
94073,94,9,13,03,07,13,15,23,27,6,94,12,13 
94072,94,9,9,01,11,13,14,17,37,30,94,12,12 
94071,94,9,6,11,16,20,25,30,35,31,94,12,6 
94070,94,9,2,09,12,15,18,27,29,35,94,12,5 
94069,94,8,30,03,08,22,24,29,33,16,94,11,30 
94068,94,8,26,04,19,20,23,26,37,7,94,11,28 
94067,94,8,23,06,08,15,19,24,25,11,94,11,23 
94066,94,8,19,04,16,19,29,32,37,27,94,11,21 
94065,94,8,16,10,12,18,25,32,38,1,94,11,16 
94064,94,8,12,20,23,24,25,27,33,26,94,11,14 
94063,94,8,9,04,06,15,20,32,35,12,94,11,9 
94062,94,8,5,08,12,17,19,35,36,23,94,11,7 
94061,94,8,2,01,03,11,14,20,30,23,94,11,2 
94060,94,7,29,06,08,15,17,20,34,27,94,10,31 
94059,94,7,26,01,21,27,28,33,37,26,94,10,26 
94058,94,7,22,06,17,21,31,34,37,8,94,10,24 
94057,94,7,19,07,08,12,16,22,31,34,94,10,19 
94056,94,7,15,09,15,16,17,25,28,23,94,10,19 
94055,94,7,12,04,06,09,11,18,19,10,94,10,12 
94054,94,7,8,04,07,24,32,34,38,1,94,10,11 
94053,94,7,5,01,08,10,12,16,38,30,94,10,5 
94052,94,7,1,01,14,21,24,36,37,23,94,10,3 
94051,94,6,28,05,09,21,25,32,36,37,94,9,28 
94050,94,6,24,17,22,23,28,30,38,8,94,9,26 
94049,94,6,21,03,04,05,19,20,29,11,94,9,21 
94048,94,6,17,01,06,10,12,29,36,25,94,9,17 
94047,94,6,14,02,04,12,14,18,30,5,94,9,14 
94046,94,6,10,03,04,19,28,29,30,15,94,9,12 
94045,94,6,7,01,09,19,25,31,34,5,94,9,7 
94044,94,6,3,11,18,26,29,34,35,30,94,9,5 
94043,94,5,31,14,25,26,34,37,38,8,94,9,1 
94042,94,5,27,02,09,12,17,20,37,34,94,8,29 
94041,94,5,24,10,11,22,26,30,37,1,94,8,24 
94040,94,5,20,04,05,14,17,35,37,34,94,8,22 
94039,94,5,17,01,05,08,09,26,29,22,94,8,17 
94038,94,5,13,07,20,21,23,25,34,10,94,8,15 
94037,94,5,10,04,13,15,24,33,35,26,94,8,10 
94036,94,5,6,08,15,19,23,27,37,33,94,8,8 
94035,94,5,3,05,10,24,35,37,38,16,94,8,3 
94034,94,4,29,03,20,23,31,36,37,17,94,7,29 
94033,94,4,26,02,21,26,31,36,38,23,94,7,26 
94032,94,4,22,01,11,19,29,30,32,4,94,7,22 
94031,94,4,19,03,09,17,19,28,30,29,94,7,19 
94030,94,4,15,10,15,24,27,32,36,30,94,7,15 
94029,94,4,12,02,03,08,10,13,29,11,94,7,12 
94028,94,4,8,01,04,08,13,25,34,19,94,7,8 
94027,94,4,5,08,16,25,28,36,37,3,94,7,5 
94026,94,4,1,03,07,09,12,29,32,38,94,7,1 
94025,94,3,29,13,22,23,25,34,37,16,94,6,29 
94024,94,3,25,03,16,25,27,29,35,23,94,6,27 
94023,94,3,22,06,14,19,31,33,34,2,94,6,22 
94022,94,3,18,03,12,13,17,18,21,35,94,6,20 
94021,94,3,15,04,06,13,29,32,37,33,94,6,15 
94020,94,3,11,04,11,17,20,23,34,29,94,6,13 
94019,94,3,8,01,10,13,20,31,35,37,94,6,8 
94018,94,3,4,11,17,30,32,34,36,20,94,6,6 
94017,94,3,1,09,12,17,23,28,38,2,94,6,1 
