"SN","Year","Month","Day","No1","No2","No3","No4","No5","No6","NoS","2y","2m","2d"
94016,94,2,25,02,15,26,29,31,37,13,94,5,31 
94015,94,2,22,08,25,27,32,33,35,36,94,5,23 
94014,94,2,18,03,11,14,16,17,25,31,94,5,20 
94013,94,2,15,01,02,21,22,25,37,14,94,5,16 
94012,94,2,11,01,15,21,23,29,31,32,94,5,13 
94011,94,2,8,05,09,14,29,34,38,28,94,5,13 
94010,94,2,4,02,07,09,11,16,24,20,94,5,4 
94009,94,2,1,01,02,12,14,34,37,13,94,5,2 
94008,94,1,28,05,08,12,16,21,38,9,94,5,2 
94007,94,1,25,01,03,06,14,24,33,37,94,4,25 
94006,94,1,21,05,07,12,13,26,35,15,94,4,25 
94005,94,1,18,02,07,08,15,25,28,40,94,4,18 
94004,94,1,14,16,18,19,34,35,37,30,94,4,18 
94003,94,1,11,03,16,24,33,38,41,7,94,4,11 
94002,94,1,7,03,04,11,18,28,32,12,94,4,11 
94001,94,1,4,06,11,12,21,37,39,30,94,4,4 
