"SN","Year","Month","Day","No1","No2","No3","No4","No5","No6","NoS","2y","2m","2d"
93105,93,12,31,8,13,21,22,25,40,9,94,4,4  
93104,93,12,28,11,19,26,32,35,39,29,94,3,28  
93103,93,12,24,2,8,30,32,40,42,19,94,3,28  
93102,93,12,21,3,7,11,21,25,36,27,94,3,21  
93101,93,12,17,10,22,30,36,38,39,2,94,3,17  
93100,93,12,14,9,12,13,17,18,28,41,94,3,14  
93099,93,12,10,3,19,24,30,40,41,5,94,3,14  
93098,93,12,7,7,8,24,27,30,40,12,94,3,7  
93097,93,12,3,14,27,29,32,38,40,1,94,3,7  
93096,93,11,30,6,8,12,20,30,31,26,94,3,1  
93095,93,11,26,5,19,31,35,36,39,7,94,3,1  
93094,93,11,23,12,14,16,23,27,36,30,94,2,23  
93093,93,11,19,1,8,22,24,28,29,40,94,2,21  
93092,93,11,16,2,6,11,19,37,42,14,94,2,16  
93091,93,11,12,5,13,18,24,25,28,7,94,2,14  
93090,93,11,9,11,13,26,30,37,39,31,94,2,14  
93089,93,11,5,10,11,19,22,30,42,14,94,2,14  
93088,93,11,2,2,16,23,26,33,34,29,94,2,2  
93087,93,10,29,11,14,20,33,35,38,9,94,1,31  
93086,93,10,26,6,7,16,21,34,42,14,94,1,26  
93085,93,10,22,8,16,26,32,36,37,17,94,1,24  
93084,93,10,19,10,18,22,24,31,39,42,94,1,19  
93083,93,10,15,4,9,12,16,23,28,18,94,1,17  
93082,93,10,12,2,7,12,28,30,31,36,94,1,12  
93081,93,10,8,1,3,6,18,23,35,40,94,1,10  
93080,93,10,5,2,3,11,19,21,27,42,94,1,5  
93079,93,10,1,1,9,17,19,37,40,30,94,1,3  
93078,93,9,28,2,12,30,35,36,37,32,93,12,28  
93077,93,9,24,4,6,19,21,22,38,39,93,12,27  
93076,93,9,21,2,4,9,26,31,42,8,93,12,21  
93075,93,9,17,1,5,12,14,22,29,24,93,12,20  
93074,93,9,14,8,18,22,29,33,38,41,93,12,14  
93073,93,9,10,12,14,21,25,28,36,3,93,12,13  
93072,93,9,7,3,23,24,28,35,41,27,93,12,7  
93071,93,9,3,2,15,31,33,34,38,24,93,12,6  
93070,93,8,31,21,26,27,32,34,40,24,93,11,30  
93069,93,8,27,1,2,16,28,32,40,33,93,11,29  
93068,93,8,24,10,24,31,38,39,42,35,93,11,24  
93067,93,8,20,2,12,28,34,36,40,26,93,11,22  
93066,93,8,17,5,6,17,21,33,40,34,93,11,17  
93065,93,8,13,6,9,15,23,38,42,28,93,11,15  
93064,93,8,10,10,17,25,27,28,30,8,93,11,10  
93063,93,8,6,1,14,16,17,31,36,42,93,11,8  
93062,93,8,3,2,9,11,18,35,38,26,93,11,3  
93061,93,7,30,7,9,12,14,15,28,25,93,11,1  
93060,93,7,27,18,22,23,24,34,42,19,93,10,27  
93059,93,7,23,3,15,26,30,35,41,14,93,10,25  
93058,93,7,20,8,13,32,34,40,42,11,93,10,20  
93057,93,7,16,12,14,16,21,22,34,40,93,10,18  
93056,93,7,13,7,9,10,11,22,25,2,93,10,13  
93055,93,7,9,3,4,7,11,15,32,2,93,10,11  
93054,93,7,6,5,15,26,34,35,38,36,93,10,6  
93053,93,7,2,7,10,12,15,21,23,29,93,10,4  
93052,93,6,29,8,18,23,30,40,41,6,93,9,29  
93051,93,6,25,4,5,8,13,22,32,12,93,9,27  
93050,93,6,22,10,17,22,25,28,35,19,93,9,22  
93049,93,6,18,4,9,25,26,34,35,23,93,9,20  
93048,93,6,15,2,17,30,35,39,42,36,93,9,15  
93047,93,6,11,13,18,20,38,40,41,22,93,9,13  
93046,93,6,8,3,10,14,27,31,41,1,93,9,8  
93045,93,6,4,1,3,6,12,37,42,23,93,9,6  
93044,93,6,1,23,26,29,30,32,35,19,93,9,1  
93043,93,5,28,10,20,25,27,30,40,5,93,8,30  
93042,93,5,25,8,10,14,17,18,21,6,93,8,25  
93041,93,5,21,1,12,14,20,26,42,34,93,8,23  
93040,93,5,18,4,7,12,27,29,37,20,93,8,18  
93039,93,5,14,2,4,26,36,40,41,42,93,8,16  
93038,93,5,11,1,20,21,22,30,40,28,93,8,11  
93037,93,5,7,11,18,22,24,32,42,4,93,8,9  
93036,93,5,4,4,13,30,32,33,42,39,93,8,4  
93035,93,4,30,4,8,9,34,37,42,32,93,8,2  
93034,93,4,27,7,25,32,37,39,41,29,93,7,27  
93033,93,4,23,7,13,14,16,20,42,11,93,7,26  
93032,93,4,20,5,17,20,26,33,35,24,93,7,20  
93031,93,4,16,4,9,17,29,37,40,18,93,7,19  
93030,93,4,13,3,8,18,20,22,28,40,93,7,13  
93029,93,4,9,5,15,21,29,37,41,24,93,7,12  
93028,93,4,6,5,10,12,23,25,35,7,93,7,6  
93027,93,4,2,22,31,32,33,41,42,4,93,7,5  
93026,93,3,30,3,5,13,17,35,42,8,93,6,30  
93025,93,3,26,23,27,28,33,39,40,4,93,6,28  
93024,93,3,23,7,11,15,30,36,41,18,93,6,23  
93023,93,3,19,1,21,23,24,34,35,22,93,6,21  
93022,93,3,16,1,4,8,18,24,40,34,93,6,16  
93021,93,3,12,7,8,11,17,33,37,12,93,6,14  
93020,93,3,9,6,12,18,25,28,36,29,93,6,9  
93019,93,3,5,12,19,26,35,37,42,20,93,6,7  
93018,93,3,2,12,13,30,35,37,40,15,93,6,2  
93017,93,2,27,4,11,17,26,29,33,14,93,5,31  
93016,93,2,24,15,18,19,24,38,41,39,93,5,24  
93015,93,2,20,7,11,13,29,34,41,18,93,5,24  
93014,93,2,17,3,5,7,12,24,32,38,93,5,17  
93013,93,2,13,1,6,10,14,18,25,13,93,5,17  
93012,93,2,10,2,8,13,26,31,38,25,93,5,10  
93011,93,2,6,7,9,19,20,36,37,30,93,5,10  
93010,93,2,3,9,17,23,36,37,40,3,93,5,3  
93009,93,1,30,7,11,12,32,33,34,21,93,4,3  
93008,93,1,27,1,6,23,31,35,37,19,93,4,27  
93007,93,1,23,8,9,18,23,24,36,25,93,4,26  
93006,93,1,20,5,19,31,33,36,38,4,93,4,26  
93005,93,1,16,5,11,24,33,39,40,26,93,4,19  
93004,93,1,13,1,6,8,9,14,25,16,93,4,13  
93003,93,1,9,2,12,29,32,36,41,22,93,4,12  
93002,93,1,6,9,12,16,28,34,39,32,93,4,6  
93001,93,1,2,1,2,5,22,23,40,19,93,4,5  
